namespace,container,pod,cpu,cpu_timestamp,memory,memory_timestamp
social-network,media-mongodb,media-mongodb-cb6857b9f-gwf5w,5.520802,1711969335955,7.114752e+07,1711969335955
social-network,media-service,media-service-7848df64c4-74h8s,0.024724,1711969336025,2.080768e+06,1711969336025
social-network,nginx-thrift,nginx-thrift-57fdb4c4f9-qn6tv,0.088599,1711969336382,3.3923072e+07,1711969336382
social-network,post-storage-memcached,post-storage-memcached-675b5c57bd-smb49,0.176025,1711969335873,1.712128e+06,1711969335873
social-network,post-storage-mongodb,post-storage-mongodb-5d7bfcd455-t6sdz,5.600944,1711969335964,7.421952e+07,1711969335964
social-network,post-storage-service,post-storage-service-84b659876c-7tt26,0.051932,1711969335939,2.985984e+06,1711969335939
social-network,social-graph-mongodb,social-graph-mongodb-78b95799d7-856w7,5.795969,1711969335927,8.3124224e+07,1711969335927
social-network,social-graph-redis,social-graph-redis-7d9b494f66-px74j,1.898275,1711969335880,1.7772544e+07,1711969335880
social-network,social-graph-service,social-graph-service-55b7888dc7-b6jzj,0.054358,1711969335898,3.600384e+06,1711969335898
kube-system,storage-provisioner,storage-provisioner,1.625592,1711969335530,1.6928768e+07,1711969335530
social-network,text-service,text-service-76cf6557f7-zxtdn,0.030241,1711969336035,7.51616e+06,1711969336035
social-network,unique-id-service,unique-id-service-6b88dd4658-fzx7l,0.022034,1711969336053,2.154496e+06,1711969336053
social-network,url-shorten-memcached,url-shorten-memcached-55d47ccc88-7qv4c,0.190979,1711969335954,1.712128e+06,1711969335954
social-network,url-shorten-mongodb,url-shorten-mongodb-5697666656-cj7vm,5.682937,1711969336012,7.4514432e+07,1711969336012
social-network,url-shorten-service,url-shorten-service-6d8bbf75f8-dgrh6,0.054075,1711969336044,5.738496e+06,1711969336044
social-network,user-memcached,user-memcached-67b7d46c5b-gsgk4,0.194463,1711969335935,7.000064e+06,1711969335935
social-network,user-mention-service,user-mention-service-764c7d97c5-7rw64,0.031567,1711969336023,2.777088e+06,1711969336023
social-network,user-mongodb,user-mongodb-86bb4559d-nmlch,5.715829,1711969336012,1.60350208e+08,1711969336012
social-network,user-service,user-service-74685b9465-8qlhb,0.054807,1711969336022,6.90176e+06,1711969336022
social-network,user-timeline-mongodb,user-timeline-mongodb-687f6576fb-m94rm,5.742763,1711969336009,7.4100736e+07,1711969336009
social-network,user-timeline-redis,user-timeline-redis-6bf758cc4f-5mndw,1.890969,1711969335864,6.311936e+06,1711969335864
social-network,user-timeline-service,user-timeline-service-65d5766796-2wnnp,0.05596,1711969335938,3.330048e+06,1711969335938
social-network,compose-post-service,compose-post-service-866f6d7b74-hl962,0.026753,1711969341047,2.39616e+06,1711969341047
kube-system,coredns,coredns-5d78c9869d-lcldh,1.994084,1711969340561,6.295552e+07,1711969340561
kube-system,etcd,etcd-minikube,19.4983,1711969340704,8.7883776e+07,1711969340704
social-network,home-timeline-redis,home-timeline-redis-7994f7cb85-d89c9,1.898592,1711969340871,6.316032e+06,1711969340871
social-network,home-timeline-service,home-timeline-service-bbc9bdd7b-cndcg,0.030278,1711969340131,2.822144e+06,1711969340131
social-network,jaeger,jaeger-7455bdbc47-jchjt,0.339213,1711969340748,4.2950656e+07,1711969340748
kube-system,kube-apiserver,kube-apiserver-minikube,41.931115,1711969340656,3.74554624e+08,1711969340656
kube-system,kube-controller-manager,kube-controller-manager-minikube,17.145507,1711969340723,1.3299712e+08,1711969340723
kube-system,kube-proxy,kube-proxy-p8wcq,0.756186,1711969340705,7.0623232e+07,1711969340705
kube-system,kube-scheduler,kube-scheduler-minikube,3.33412,1711969340653,7.022592e+07,1711969340653
social-network,media-frontend,media-frontend-7f4999dcd-n64xn,0.036101,1711969342271,2.5214976e+07,1711969342271
social-network,media-memcached,media-memcached-7c887f8cc6-l5q56,0.190517,1711969340881,8.024064e+06,1711969340881
social-network,media-mongodb,media-mongodb-cb6857b9f-gwf5w,5.535641,1711969340981,7.114752e+07,1711969340981
social-network,media-service,media-service-7848df64c4-74h8s,0.024738,1711969341024,2.080768e+06,1711969341024
social-network,nginx-thrift,nginx-thrift-57fdb4c4f9-qn6tv,0.088912,1711969341968,3.3923072e+07,1711969341968
social-network,post-storage-memcached,post-storage-memcached-675b5c57bd-smb49,0.176437,1711969340915,1.712128e+06,1711969340915
social-network,post-storage-mongodb,post-storage-mongodb-5d7bfcd455-t6sdz,5.615312,1711969340915,7.421952e+07,1711969340915
social-network,post-storage-service,post-storage-service-84b659876c-7tt26,0.052091,1711969341045,2.985984e+06,1711969341045
social-network,social-graph-mongodb,social-graph-mongodb-78b95799d7-856w7,5.809765,1711969341079,8.3124224e+07,1711969341079
social-network,social-graph-redis,social-graph-redis-7d9b494f66-px74j,1.90354,1711969340890,1.7772544e+07,1711969340890
social-network,social-graph-service,social-graph-service-55b7888dc7-b6jzj,0.054523,1711969341046,3.600384e+06,1711969341046
kube-system,storage-provisioner,storage-provisioner,1.631237,1711969340557,1.6953344e+07,1711969340557
social-network,text-service,text-service-76cf6557f7-zxtdn,0.030253,1711969341127,7.51616e+06,1711969341127
social-network,unique-id-service,unique-id-service-6b88dd4658-fzx7l,0.022045,1711969341054,2.154496e+06,1711969341054
social-network,url-shorten-memcached,url-shorten-memcached-55d47ccc88-7qv4c,0.191479,1711969340994,1.712128e+06,1711969340994
social-network,url-shorten-mongodb,url-shorten-mongodb-5697666656-cj7vm,5.697319,1711969341022,7.4514432e+07,1711969341022
social-network,url-shorten-service,url-shorten-service-6d8bbf75f8-dgrh6,0.054177,1711969341206,5.738496e+06,1711969341206
social-network,user-memcached,user-memcached-67b7d46c5b-gsgk4,0.195083,1711969340915,7.000064e+06,1711969340915
social-network,user-mention-service,user-mention-service-764c7d97c5-7rw64,0.031598,1711969341065,2.777088e+06,1711969341065
social-network,user-mongodb,user-mongodb-86bb4559d-nmlch,5.731228,1711969341120,1.60350208e+08,1711969341120
social-network,user-service,user-service-74685b9465-8qlhb,0.055026,1711969341042,6.90176e+06,1711969341042
social-network,user-timeline-mongodb,user-timeline-mongodb-687f6576fb-m94rm,5.757774,1711969341047,7.4100736e+07,1711969341047
social-network,user-timeline-redis,user-timeline-redis-6bf758cc4f-5mndw,1.897613,1711969340949,6.311936e+06,1711969340949
social-network,user-timeline-service,user-timeline-service-65d5766796-2wnnp,0.056161,1711969341060,3.330048e+06,1711969341060
social-network,compose-post-service,compose-post-service-866f6d7b74-hl962,0.026753,1711969346030,2.39616e+06,1711969346030
kube-system,coredns,coredns-5d78c9869d-lcldh,1.999337,1711969345736,6.295552e+07,1711969345736
kube-system,etcd,etcd-minikube,19.551365,1711969345620,8.7887872e+07,1711969345620
social-network,home-timeline-redis,home-timeline-redis-7994f7cb85-d89c9,1.905064,1711969345912,6.316032e+06,1711969345912
social-network,home-timeline-service,home-timeline-service-bbc9bdd7b-cndcg,0.030278,1711969345921,2.822144e+06,1711969345921
social-network,jaeger,jaeger-7455bdbc47-jchjt,0.340017,1711969345600,4.2950656e+07,1711969345600
kube-system,kube-apiserver,kube-apiserver-minikube,42.040767,1711969345885,3.74554624e+08,1711969345885
kube-system,kube-controller-manager,kube-controller-manager-minikube,17.185553,1711969345854,1.3299712e+08,1711969345854
kube-system,kube-proxy,kube-proxy-p8wcq,0.756317,1711969345738,7.0623232e+07,1711969345738
kube-system,kube-scheduler,kube-scheduler-minikube,3.339256,1711969345779,7.022592e+07,1711969345779
social-network,media-frontend,media-frontend-7f4999dcd-n64xn,0.036101,1711969346563,2.5214976e+07,1711969346563
