cpu,cpu_timestamp,memory,memory_timestamp
10677.492085,1711986379469,3.75590912e+09,1711986379469
10677.492085,1711986379469,3.75590912e+09,1711986379469
10724.142983,1711986391339,3.735728128e+09,1711986391339
10724.142983,1711986391339,3.735728128e+09,1711986391339
362.398539,1712031751490,3.104395264e+09,1712031751490
362.398539,1712031751490,3.104395264e+09,1712031751490
408.114738,1712031763254,3.1264768e+09,1712031763254
408.114738,1712031763254,3.1264768e+09,1712031763254
455.204012,1712031775027,3.156545536e+09,1712031775027
455.204012,1712031775027,3.156545536e+09,1712031775027
455.204012,1712031775027,3.156545536e+09,1712031775027
15164.948761,1712038772570,2.954416128e+09,1712038772570
15229.49561,1712038786099,2.961539072e+09,1712038786099
15294.96339,1712038811423,2.908848128e+09,1712038811423
