namespace,pod,cpu,cpu_timestamp,memory,memory_timestamp
social-network,url-shorten-mongodb-5697666656-cj7vm,5.649112,1711969317212,7.4645504e+07,1711969317212
social-network,url-shorten-service-6d8bbf75f8-dgrh6,0.075507,1711969328645,6.135808e+06,1711969328645
social-network,user-memcached-67b7d46c5b-gsgk4,0.214963,1711969325459,6.811648e+06,1711969325459
social-network,user-mention-service-764c7d97c5-7rw64,0.05405,1711969326236,3.1744e+06,1711969326236
social-network,user-mongodb-86bb4559d-nmlch,5.691024,1711969322344,1.60468992e+08,1711969322344
social-network,user-service-74685b9465-8qlhb,0.072911,1711969328998,7.380992e+06,1711969328998
social-network,user-timeline-mongodb-687f6576fb-m94rm,5.739194,1711969326146,7.424e+07,1711969326146
social-network,user-timeline-redis-6bf758cc4f-5mndw,1.901004,1711969324091,6.709248e+06,1711969324091
social-network,user-timeline-service-65d5766796-2wnnp,0.078513,1711969328476,3.72736e+06,1711969328476
kube-system,coredns-5d78c9869d-lcldh,2.006652,1711969333009,6.336512e+07,1711969333009
kube-system,etcd-minikube,19.407177,1711969330634,8.7371776e+07,1711969330634
kube-system,kube-apiserver-minikube,41.660536,1711969329162,3.7533696e+08,1711969329162
kube-system,kube-controller-manager-minikube,16.990121,1711969318764,1.33287936e+08,1711969318764
kube-system,kube-proxy-p8wcq,0.767914,1711969325726,7.0537216e+07,1711969325726
kube-system,kube-scheduler-minikube,3.32863,1711969328847,7.0455296e+07,1711969328847
kube-system,storage-provisioner,1.672723,1711969330211,3.8449152e+07,1711969330211
social-network,compose-post-service-866f6d7b74-hl962,0.051236,1711969332288,2.789376e+06,1711969332288
social-network,home-timeline-redis-7994f7cb85-d89c9,1.898961,1711969325579,6.705152e+06,1711969325579
social-network,home-timeline-service-bbc9bdd7b-cndcg,0.053826,1711969325140,3.219456e+06,1711969325140
social-network,jaeger-7455bdbc47-jchjt,0.359527,1711969322215,4.3245568e+07,1711969322215
social-network,media-frontend-7f4999dcd-n64xn,10.584037,1711969333160,4.0767488e+07,1711969333160
social-network,media-memcached-7c887f8cc6-l5q56,0.210234,1711969334682,8.392704e+06,1711969334682
social-network,media-mongodb-cb6857b9f-gwf5w,5.523243,1711969329053,7.129088e+07,1711969329053
social-network,media-service-7848df64c4-74h8s,0.048739,1711969325046,2.473984e+06,1711969325046
social-network,nginx-thrift-57fdb4c4f9-qn6tv,9.157997,1711969336082,4.9180672e+07,1711969336082
social-network,post-storage-memcached-675b5c57bd-smb49,0.200097,1711969334890,2.105344e+06,1711969334890
social-network,post-storage-mongodb-5d7bfcd455-t6sdz,5.61952,1711969333928,7.4366976e+07,1711969333928
social-network,post-storage-service-84b659876c-7tt26,0.07536,1711969327347,3.342336e+06,1711969327347
social-network,social-graph-mongodb-78b95799d7-856w7,5.807037,1711969331043,8.3267584e+07,1711969331043
social-network,social-graph-redis-7d9b494f66-px74j,1.904894,1711969322566,1.816576e+07,1711969322566
social-network,social-graph-service-55b7888dc7-b6jzj,0.07615,1711969324639,3.9936e+06,1711969324639
social-network,text-service-76cf6557f7-zxtdn,0.050447,1711969334248,7.917568e+06,1711969334248
social-network,unique-id-service-6b88dd4658-fzx7l,0.046935,1711969328555,2.506752e+06,1711969328555
social-network,url-shorten-memcached-55d47ccc88-7qv4c,0.212174,1711969326653,2.10944e+06,1711969326653
social-network,url-shorten-mongodb-5697666656-cj7vm,5.649112,1711969317212,7.4645504e+07,1711969317212
social-network,url-shorten-service-6d8bbf75f8-dgrh6,0.075507,1711969328645,6.135808e+06,1711969328645
social-network,user-memcached-67b7d46c5b-gsgk4,0.214963,1711969325459,6.811648e+06,1711969325459
social-network,user-mention-service-764c7d97c5-7rw64,0.05405,1711969326236,3.1744e+06,1711969326236
social-network,user-mongodb-86bb4559d-nmlch,5.691024,1711969322344,1.60468992e+08,1711969322344
social-network,user-service-74685b9465-8qlhb,0.072911,1711969328998,7.380992e+06,1711969328998
social-network,user-timeline-mongodb-687f6576fb-m94rm,5.739194,1711969326146,7.424e+07,1711969326146
social-network,user-timeline-redis-6bf758cc4f-5mndw,1.901004,1711969324091,6.709248e+06,1711969324091
social-network,user-timeline-service-65d5766796-2wnnp,0.078513,1711969328476,3.72736e+06,1711969328476
kube-system,coredns-5d78c9869d-lcldh,2.006652,1711969333009,6.336512e+07,1711969333009
kube-system,etcd-minikube,19.407177,1711969330634,8.7371776e+07,1711969330634
kube-system,kube-apiserver-minikube,41.660536,1711969329162,3.7533696e+08,1711969329162
kube-system,kube-controller-manager-minikube,17.138909,1711969337547,1.33287936e+08,1711969337547
kube-system,kube-proxy-p8wcq,0.767914,1711969325726,7.0537216e+07,1711969325726
kube-system,kube-scheduler-minikube,3.349398,1711969340515,7.0455296e+07,1711969340515
kube-system,storage-provisioner,1.672723,1711969330211,3.8449152e+07,1711969330211
social-network,compose-post-service-866f6d7b74-hl962,0.051236,1711969332288,2.789376e+06,1711969332288
social-network,home-timeline-redis-7994f7cb85-d89c9,1.918607,1711969339740,6.705152e+06,1711969339740
social-network,home-timeline-service-bbc9bdd7b-cndcg,0.053826,1711969325140,3.219456e+06,1711969325140
social-network,jaeger-7455bdbc47-jchjt,0.361264,1711969338440,4.3245568e+07,1711969338440
social-network,media-frontend-7f4999dcd-n64xn,10.584037,1711969333160,4.0767488e+07,1711969333160
social-network,media-memcached-7c887f8cc6-l5q56,0.210234,1711969334682,8.392704e+06,1711969334682
social-network,media-mongodb-cb6857b9f-gwf5w,5.565436,1711969341788,7.1286784e+07,1711969341788
social-network,media-service-7848df64c4-74h8s,0.048781,1711969339175,2.473984e+06,1711969339175
social-network,nginx-thrift-57fdb4c4f9-qn6tv,9.157997,1711969336082,4.9180672e+07,1711969336082
social-network,post-storage-memcached-675b5c57bd-smb49,0.200097,1711969334890,2.105344e+06,1711969334890
social-network,post-storage-mongodb-5d7bfcd455-t6sdz,5.61952,1711969333928,7.4366976e+07,1711969333928
social-network,post-storage-service-84b659876c-7tt26,0.07536,1711969327347,3.342336e+06,1711969327347
social-network,social-graph-mongodb-78b95799d7-856w7,5.807037,1711969331043,8.3267584e+07,1711969331043
social-network,social-graph-redis-7d9b494f66-px74j,1.904894,1711969322566,1.816576e+07,1711969322566
social-network,social-graph-service-55b7888dc7-b6jzj,0.07615,1711969324639,3.9936e+06,1711969324639
social-network,text-service-76cf6557f7-zxtdn,0.050447,1711969334248,7.917568e+06,1711969334248
social-network,unique-id-service-6b88dd4658-fzx7l,0.046946,1711969339413,2.506752e+06,1711969339413
social-network,url-shorten-memcached-55d47ccc88-7qv4c,0.212174,1711969326653,2.10944e+06,1711969326653
social-network,url-shorten-mongodb-5697666656-cj7vm,5.710887,1711969337139,7.46496e+07,1711969337139
social-network,url-shorten-service-6d8bbf75f8-dgrh6,0.075507,1711969328645,6.135808e+06,1711969328645
social-network,user-memcached-67b7d46c5b-gsgk4,0.214963,1711969325459,6.811648e+06,1711969325459
social-network,user-mention-service-764c7d97c5-7rw64,0.054081,1711969338390,3.1744e+06,1711969338390
social-network,user-mongodb-86bb4559d-nmlch,5.750958,1711969339692,1.60468992e+08,1711969339692
social-network,user-service-74685b9465-8qlhb,0.072911,1711969328998,7.380992e+06,1711969328998
social-network,user-timeline-mongodb-687f6576fb-m94rm,5.771487,1711969337727,7.424e+07,1711969337727
social-network,user-timeline-redis-6bf758cc4f-5mndw,1.915706,1711969337020,6.709248e+06,1711969337020
social-network,user-timeline-service-65d5766796-2wnnp,0.078513,1711969328476,3.72736e+06,1711969328476
kube-system,coredns-5d78c9869d-lcldh,2.006652,1711969333009,6.336512e+07,1711969333009
kube-system,etcd-minikube,19.561534,1711969344637,8.736768e+07,1711969344637
kube-system,kube-apiserver-minikube,42.062696,1711969346245,3.75078912e+08,1711969346245
kube-system,kube-controller-manager-minikube,17.138909,1711969337547,1.33287936e+08,1711969337547
kube-system,kube-proxy-p8wcq,0.76974,1711969344980,7.0537216e+07,1711969344980
kube-system,kube-scheduler-minikube,3.349398,1711969340515,7.0455296e+07,1711969340515
kube-system,storage-provisioner,1.690517,1711969343670,3.8477824e+07,1711969343670
social-network,compose-post-service-866f6d7b74-hl962,0.051236,1711969332288,2.789376e+06,1711969332288
social-network,home-timeline-redis-7994f7cb85-d89c9,1.918607,1711969339740,6.705152e+06,1711969339740
social-network,home-timeline-service-bbc9bdd7b-cndcg,0.05385,1711969344475,3.219456e+06,1711969344475
social-network,jaeger-7455bdbc47-jchjt,0.361264,1711969338440,4.3245568e+07,1711969338440
social-network,media-frontend-7f4999dcd-n64xn,10.584037,1711969345328,4.0767488e+07,1711969345328
social-network,media-memcached-7c887f8cc6-l5q56,0.210234,1711969334682,8.392704e+06,1711969334682
social-network,media-mongodb-cb6857b9f-gwf5w,5.565436,1711969341788,7.1286784e+07,1711969341788
social-network,media-service-7848df64c4-74h8s,0.048781,1711969339175,2.473984e+06,1711969339175
social-network,nginx-thrift-57fdb4c4f9-qn6tv,9.157997,1711969336082,4.9180672e+07,1711969336082
social-network,post-storage-memcached-675b5c57bd-smb49,0.200097,1711969334890,2.105344e+06,1711969334890
social-network,post-storage-mongodb-5d7bfcd455-t6sdz,5.61952,1711969333928,7.4366976e+07,1711969333928
social-network,post-storage-service-84b659876c-7tt26,0.075519,1711969342707,3.342336e+06,1711969342707
social-network,social-graph-mongodb-78b95799d7-856w7,5.807037,1711969331043,8.3267584e+07,1711969331043
social-network,social-graph-redis-7d9b494f66-px74j,1.926332,1711969342462,1.816576e+07,1711969342462
social-network,social-graph-service-55b7888dc7-b6jzj,0.076456,1711969342479,3.9936e+06,1711969342479
social-network,text-service-76cf6557f7-zxtdn,0.050447,1711969334248,7.917568e+06,1711969334248
social-network,unique-id-service-6b88dd4658-fzx7l,0.046946,1711969339413,2.506752e+06,1711969339413
social-network,url-shorten-memcached-55d47ccc88-7qv4c,0.213747,1711969343274,2.10944e+06,1711969343274
social-network,url-shorten-mongodb-5697666656-cj7vm,5.710887,1711969337139,7.46496e+07,1711969337139
social-network,url-shorten-service-6d8bbf75f8-dgrh6,0.07561,1711969344415,6.135808e+06,1711969344415
social-network,user-memcached-67b7d46c5b-gsgk4,0.216853,1711969344268,6.811648e+06,1711969344268
social-network,user-mention-service-764c7d97c5-7rw64,0.054081,1711969338390,3.1744e+06,1711969338390
social-network,user-mongodb-86bb4559d-nmlch,5.750958,1711969339692,1.60468992e+08,1711969339692
social-network,user-service-74685b9465-8qlhb,0.073129,1711969344908,7.380992e+06,1711969344908
social-network,user-timeline-mongodb-687f6576fb-m94rm,5.771487,1711969337727,7.424e+07,1711969337727
social-network,user-timeline-redis-6bf758cc4f-5mndw,1.915706,1711969337020,6.709248e+06,1711969337020
social-network,user-timeline-service-65d5766796-2wnnp,0.078713,1711969342637,3.72736e+06,1711969342637
kube-system,coredns-5d78c9869d-lcldh,2.006652,1711969333009,6.336512e+07,1711969333009
kube-system,etcd-minikube,19.561534,1711969344637,8.736768e+07,1711969344637
kube-system,kube-apiserver-minikube,42.062696,1711969346245,3.75078912e+08,1711969346245
kube-system,kube-controller-manager-minikube,17.138909,1711969337547,1.33287936e+08,1711969337547
kube-system,kube-proxy-p8wcq,0.76974,1711969344980,7.0537216e+07,1711969344980
kube-system,kube-scheduler-minikube,3.371607,1711969351144,7.0459392e+07,1711969351144
kube-system,storage-provisioner,1.690517,1711969343670,3.8477824e+07,1711969343670
social-network,compose-post-service-866f6d7b74-hl962,0.051236,1711969332288,2.789376e+06,1711969332288
social-network,home-timeline-redis-7994f7cb85-d89c9,1.933132,1711969351432,6.967296e+06,1711969351432
social-network,home-timeline-service-bbc9bdd7b-cndcg,0.05385,1711969344475,3.219456e+06,1711969344475
social-network,jaeger-7455bdbc47-jchjt,0.361264,1711969338440,4.3245568e+07,1711969338440
social-network,media-frontend-7f4999dcd-n64xn,10.584037,1711969345328,4.0767488e+07,1711969345328
social-network,media-memcached-7c887f8cc6-l5q56,0.210234,1711969334682,8.392704e+06,1711969334682
social-network,media-mongodb-cb6857b9f-gwf5w,5.565436,1711969341788,7.1286784e+07,1711969341788
social-network,media-service-7848df64c4-74h8s,0.048818,1711969351099,2.473984e+06,1711969351099
